日期,操作,代码,数量,价格,手续费,金额,币种,说明
2026-01-02,入金,,1,1,0,1000.0000000000,USD,合成入金
2026-01-02,买入,VGT,2.0000000000,100.1234567890,0.1234567890,-200.3703703670,USD,合成科技 ETF
2026-01-02,买入,SMH,1.0000000000,200.0000000000,0,-200.0000000000,USD,合成半导体 ETF
2026-01-10,股息,VGT,1,1,0,1.2500000000,USD,合成股息
2026-01-10,股息再投资,VGT,0.0123456789,101.2500000000,0,-1.2500000000,USD,合成 DRIP
2026-01-12,利息,,1,1,0,0.0700000000,USD,合成利息
2026-01-14,卖出,VGT,0.5000000000,110.3333333333,0.0100000000,55.1566666667,USD,合成部分卖出
2026-01-15,提款,,1,1,0,-100.0000000000,USD,合成提款
2026-01-15,预扣税,,1,1,0,-0.1300000000,USD,合成预扣税
2026-01-15,费用,,1,1,0,-0.0700000000,USD,合成独立费用
2026-01-15,入金,,1,1,0,0.0000000001,USD,合成精度入金
2026-01-15,买入,VGT,2.0000000000,100.1234567890,0.1234567890,-200.3703703670,USD,合成完全重复
2026-01-16,买入,VOO,1,400,0,-400,EUR,缺少 USD 结算值的非 USD 阻止行
错误日期,买入,SMH,1,200,0,-200,USD,日期错误阻止行
