Symbol,Side,Qty,Fill Price,Commission,Closing Time
USD:USD,Deposit,1000.0000000000,,,2026-01-02 09:00:00
NASDAQ:VGT,Buy,2.0000000000,100.1234567890,0.1234567890,2026-01-02 09:01:00
AMEX:SMH,Buy,1.0000000000,200.0000000000,0,2026-01-02 09:02:00
NASDAQ:VGT,Dividend,1.2500000000,,,2026-01-10 09:00:00
NASDAQ:VGT,Buy,0.0123456789,101.2500000000,0,2026-01-10 09:01:00
USD:USD,Interest,0.0700000000,,,2026-01-12 09:00:00
NASDAQ:VGT,Sell,0.5000000000,110.3333333333,0.0100000000,2026-01-14 09:00:00
USD:USD,Withdrawal,-100.0000000000,,,2026-01-15 09:00:00
USD:USD,Taxes and fees,-0.1300000000,,,2026-01-15 09:01:00
USD:USD,Taxes and fees,-0.0700000000,,,2026-01-15 09:02:00
USD:USD,Deposit,0.0000000001,,,2026-01-15 09:03:00
NASDAQ:VGT,Buy,2.0000000000,100.1234567890,0.1234567890,2026-01-15 09:04:00
NASDAQ:VOO,Buy,1,400,0,2026-01-16 09:00:00
USD:USD,Withdrawal,not-a-number,,,2026-01-16 09:01:00
